,amount,amount,amount,charged_fee,expected_fee
,count,sum,mean,sum,sum
merchant_type,,,,,
SUPERMERCADO,12407,2102035.83,169.42,26802.5,26293.57
POSTO_COMBUSTIVEL,12554,2101547.93,167.4,25266.08,24881.54
RESTAURANTE,12300,2083746.86,169.41,36942.7,36865.69
FARMACIA,12547,2093278.1,166.83,29195.9,29018.15
LOJA_ROUPAS,12642,2083706.25,164.82,41472.9,41244.26
ELETRONICOS,12537,2297967.63,183.29,56667.02,56122.56
ONLINE_MARKETPLACE,12588,2066888.97,164.2,45095.77,44930.71
SERVICOS_DIGITAIS,12425,2152768.62,173.26,61373.61,61033.32
